X÷·,Y÷·,Z÷·
3904.709,6791.945,35
3912.576,6773.557,35
3920.600,6755.238,35
3928.779,6736.987,35
3937.164,6718.830,35
3945.828,6700.804,35
3954.713,6682.886,35
3963.426,6664.884,35
3971.832,6646.737,35
3980.104,6628.528,35
3988.403,6610.331,35
3996.859,6592.206,35
4005.650,6574.243,35
4014.894,6556.509,35
4024.638,6539.043,35
4034.812,6521.825,35
4045.309,6504.801,35
4056.054,6487.934,35
4067.376,6471.450,35
4079.657,6455.670,35
4093.086,6440.855,35
4107.542,6427.042,35
4123.059,6414.434,35
4139.553,6403.135,35
4156.910,6393.209,35
4174.869,6384.415,35
4193.225,6376.478,35
4211.847,6369.187,35
4230.681,6362.460,35
4249.717,6356.330,35
4268.982,6350.968,35
4288.519,6346.708,35
4308.328,6343.996,35
4328.290,6342.842,35
4348.286,6342.946,35
4368.250,6344.098,35
4388.139,6346.184,35
4407.870,6349.425,35
4427.271,6354.252,35
4446.193,6360.710,35
4464.613,6368.493,35
4482.651,6377.129,35
4500.412,6386.322,35
4517.957,6395.923,35
4535.203,6406.047,35
4551.968,6416.948,35
4568.028,6428.860,35
4583.304,6441.764,35
4597.926,6455.407,35
4612.035,6469.581,35
4625.750,6484.137,35
4639.062,6499.062,35
4651.869,6514.422,35
4664.070,6530.267,35
4675.693,6546.542,35
4686.911,6563.099,35
4697.872,6579.828,35
4708.618,6596.695,35
4719.016,6613.779,35
4728.848,6631.194,35
4738.221,6648.862,35
4747.534,6666.561,35
4756.653,6684.361,35
4765.289,6702.399,35
4773.385,6720.687,35
4780.922,6739.211,35
4788.033,6757.904,35
4794.771,6776.734,35
4801.138,6795.693,35
4807.154,6814.767,35
4812.760,6833.964,35
4817.892,6853.293,35
4822.486,6872.757,35
4826.523,6892.345,35
4830.087,6912.024,35
4833.209,6931.778,35
4835.912,6951.594,35
4838.263,6971.455,35
4840.320,6991.349,35
4842.078,7011.272,35
4843.661,7031.209,35
4845.131,7051.155,35
4846.436,7071.112,35
4847.673,7091.074,35
4848.818,7111.041,35
4849.916,7131.010,35
4850.935,7150.985,35
1532.489,2469.192,35
1545.463,2484.412,35
1558.380,2499.682,35
1571.247,2514.993,35
1584.045,2530.362,35
1596.753,2545.806,35
1609.337,2561.350,35
1621.804,2576.989,35
1634.202,2592.683,35
1646.546,2608.419,35
1658.828,2624.204,35
1671.042,2640.041,35
1683.193,2655.926,35
1695.295,2671.849,35
1707.359,2687.801,35
1719.397,2703.772,35
1731.419,2719.756,35
1743.433,2735.746,35
1755.448,2751.734,35
1767.476,2767.713,35
1779.528,2783.674,35
1791.638,2799.591,35
1803.851,2815.429,35
1816.203,2831.159,35
1828.709,2846.766,35
1841.361,2862.256,35
1854.140,2877.641,35
1867.035,2892.928,35
1880.049,2908.115,35
1893.209,2923.175,35
1906.565,2938.061,35
1920.153,2952.736,35
1933.978,2967.188,35
1948.017,2981.433,35
1962.172,2995.562,35
1976.376,3009.642,35
1990.566,3023.736,35
2004.666,3037.920,35
2018.653,3052.215,35
2032.638,3066.513,35
2046.768,3080.667,35
2061.142,3094.572,35
2075.769,3108.213,35
2090.606,3121.624,35
2105.595,3134.865,35
2120.734,3147.933,35
2136.029,3160.820,35
2151.486,3173.511,35
2167.112,3185.995,35
2182.885,3198.290,35
2198.767,3210.447,35
2214.734,3222.489,35
2230.829,3234.362,35
2247.090,3246.005,35
2263.542,3257.378,35
2280.204,3268.440,35
2297.037,3279.240,35
2314.009,3289.820,35
2331.109,3300.193,35
2348.307,3310.402,35
2365.591,3320.464,35
2382.947,3330.402,35
2400.367,3340.227,35
2417.848,3349.944,35
2435.389,3359.553,35
2452.996,3369.038,35
2470.660,3378.417,35
2488.364,3387.722,35
2506.082,3397.000,35
2523.790,3406.296,35
2541.482,3415.623,35
2559.163,3424.971,35
2576.836,3434.335,35
2594.504,3443.707,35
2612.168,3453.086,35
2629.824,3462.482,35
2647.444,3471.943,35
2664.996,3481.531,35
2682.446,3491.304,35
2699.750,3501.330,35
2716.871,3511.667,35
2733.819,3522.287,35
2750.602,3533.164,35
2767.265,3544.225,35
2783.834,3555.426,35
2800.324,3566.744,35
2816.660,3578.282,35
2832.740,3590.173,35
2848.484,3602.505,35
2863.872,3615.279,35
2878.959,3628.408,35
2893.776,3641.841,35
2908.371,3655.514,35
2922.736,3669.430,35
2936.818,3683.630,35
2950.544,3698.176,35
2963.884,3713.076,35
2976.905,3728.257,35
2989.704,3743.625,35
3002.322,3759.142,35
3014.783,3774.785,35
3027.082,3790.556,35
3039.161,3806.496,35
3050.954,3822.649,35
3062.404,3839.047,35
3073.443,3855.724,35
3084.014,3872.700,35
3094.045,3890.002,35
3103.466,3907.642,35
3112.291,3925.588,35
3120.574,3943.792,35
3128.361,3962.213,35
3135.686,3980.822,35
3142.513,3999.620,35
3148.800,4018.605,35
3154.423,4037.797,35
3159.111,4057.237,35
3162.637,4076.921,35
3165.062,4096.771,35
3166.721,4116.701,35
3167.929,4136.664,35
3168.951,4156.638,35
3169.873,4176.617,35
3170.628,4196.602,35
3171.131,4216.596,35
3171.278,4236.595,35
3171.033,4256.593,35
3170.407,4276.583,35
3169.359,4296.555,35
3167.711,4316.485,35
3165.273,4336.335,35
3162.269,4356.108,35
3158.984,4375.836,35
3155.523,4395.534,35
3151.941,4415.211,35
3148.270,4434.871,35
3144.517,4454.516,35
3140.673,4474.143,35
3136.719,4493.748,35
3132.651,4513.330,35
3128.438,4532.881,35
3124.153,4552.416,35
3119.866,4571.952,35
3115.671,4591.507,35
3111.633,4611.095,35
3107.826,4630.729,35
3104.233,4650.403,35
3100.860,4670.117,35
3097.726,4689.869,35
3094.836,4709.659,35
3092.279,4729.495,35
3090.196,4749.385,35
3088.765,4769.332,35
3088.183,4789.321,35
3088.610,4809.313,35
3089.997,4829.263,35
3092.158,4849.145,35
3094.910,4868.954,35
3098.072,4888.702,35
3101.611,4908.386,35
3105.622,4927.979,35
3110.198,4947.447,35
3115.424,4966.751,35
3121.238,4985.887,35
3127.628,5004.837,35
3134.589,5023.586,35
3142.209,5042.076,35
3150.519,5060.266,35
3159.500,5078.135,35
3169.034,5095.716,35
3179.058,5113.021,35
3189.514,5130.070,35
3200.338,5146.887,35
3211.458,5163.510,35
3222.840,5179.955,35
3234.501,5196.203,35
3246.524,5212.185,35
3259.053,5227.773,35
3272.121,5242.911,35
3285.532,5257.748,35
3299.227,5272.324,35
3313.302,5286.531,35
3327.830,5300.275,35
3342.822,5313.511,35
3358.158,5326.349,35
3373.718,5338.914,35
3389.408,5351.315,35
3405.151,5363.651,35
3420.953,5375.910,35
3436.900,5387.980,35
3453.074,5399.744,35
3469.589,5411.023,35
3486.515,5421.673,35
3503.858,5431.632,35
3521.542,5440.972,35
3539.443,5449.890,35
3557.495,5458.500,35
3575.659,5466.869,35
3593.926,5475.013,35
3612.297,5482.918,35
3630.733,5490.673,35
3649.198,5498.357,35
3667.687,5505.981,35
3686.202,5513.543,35
3704.755,5521.014,35
3723.343,5528.395,35
3741.972,5535.672,35
3760.649,5542.827,35
3779.366,5549.872,35
3798.111,5556.845,35
3816.874,5563.770,35
3835.646,5570.672,35
3854.415,5577.580,35
3873.171,5584.522,35
3891.908,5591.518,35
3910.614,5598.594,35
3929.290,5605.752,35
3947.925,5613.012,35
3966.509,5620.404,35
3985.036,5627.937,35
4003.499,5635.625,35
4021.907,5643.444,35
4040.271,5651.367,35
4058.599,5659.372,35
4076.908,5667.421,35
4095.198,5675.513,35
4113.461,5683.665,35
4131.693,5691.886,35
4149.882,5700.202,35
4168.026,5708.617,35
4186.117,5717.143,35
4204.156,5725.780,35
4222.150,5734.512,35
