X÷·,Y÷·,Z÷·
6705.673,8152.584,0.75
6702.179,8132.892,0.75
6698.685,8113.199,0.75
6695.191,8093.507,0.75
6691.698,8073.814,0.75
6688.204,8054.122,0.75
6684.710,8034.429,0.75
6681.216,8014.737,0.75
6677.722,7995.045,0.75
6674.228,7975.352,0.75
6670.735,7955.660,0.75
6667.241,7935.967,0.75
6663.747,7916.275,0.75
6660.253,7896.582,0.75
6656.759,7876.890,0.75
6653.265,7857.197,0.75
6649.772,7837.505,0.75
6646.278,7817.812,0.75
6642.784,7798.120,0.75
6639.290,7778.427,0.75
6635.796,7758.735,0.75
6632.271,7739.048,0.75
6628.721,7719.366,0.75
6625.172,7699.683,0.75
6621.622,7680.001,0.75
6618.072,7660.318,0.75
6614.522,7640.636,0.75
6610.973,7620.953,0.75
6607.423,7601.271,0.75
6603.873,7581.588,0.75
6600.324,7561.906,0.75
6596.774,7542.223,0.75
6593.224,7522.541,0.75
6589.675,7502.858,0.75
6586.125,7483.176,0.75
6582.575,7463.494,0.75
6579.025,7443.811,0.75
6575.436,7424.136,0.75
6571.805,7404.468,0.75
6568.175,7384.800,0.75
6564.544,7365.133,0.75
6560.913,7345.465,0.75
6557.283,7325.797,0.75
6553.652,7306.130,0.75
6550.022,7286.462,0.75
6546.391,7266.794,0.75
6542.760,7247.126,0.75
6539.130,7227.459,0.75
6535.499,7207.791,0.75
6531.807,7188.135,0.75
6528.053,7168.490,0.75
6524.300,7148.846,0.75
6520.547,7129.201,0.75
6516.793,7109.556,0.75
6513.040,7089.912,0.75
6509.286,7070.267,0.75
6505.533,7050.623,0.75
6501.779,7030.978,0.75
6497.844,7011.369,0.75
6493.894,6991.763,0.75
6489.944,6972.157,0.75
6485.994,6952.551,0.75
6482.044,6932.945,0.75
6478.059,6913.346,0.75
6473.781,6893.809,0.75
6469.503,6874.272,0.75
6465.225,6854.735,0.75
6460.748,6835.244,0.75
6455.936,6815.832,0.75
6451.084,6796.430,0.75
6445.649,6777.182,0.75
6440.115,6757.964,0.75
6434.481,6738.773,0.75
6428.812,6719.594,0.75
6423.080,6700.433,0.75
6417.276,6681.293,0.75
6411.379,6662.182,0.75
6405.374,6643.106,0.75
6399.246,6624.068,0.75
6392.992,6605.071,0.75
6386.613,6586.115,0.75
6380.103,6567.205,0.75
6373.467,6548.337,0.75
6366.725,6529.508,0.75
6359.879,6510.717,0.75
6352.930,6491.963,0.75
6345.842,6473.261,0.75
6338.629,6454.607,0.75
6331.295,6436.001,0.75
6323.832,6417.445,0.75
6316.213,6398.953,0.75
6308.395,6380.544,0.75
6300.410,6362.208,0.75
6292.251,6343.948,0.75
6283.913,6325.770,0.75
6275.393,6307.676,0.75
6266.687,6289.670,0.75
6257.786,6271.760,0.75
6248.694,6253.946,0.75
6239.425,6236.224,0.75
6229.983,6218.593,0.75
6220.373,6201.053,0.75
6210.600,6183.604,0.75
6200.671,6166.243,0.75
6190.591,6148.969,0.75
6180.368,6131.779,0.75
6170.011,6114.670,0.75
6159.528,6097.638,0.75
6148.927,6080.678,0.75
