X÷·,Y÷·,Z÷·
3364.420,5815.550,0.8
3364.259,5795.551,0.8
3363.951,5775.554,0.8
3363.455,5755.560,0.8
3362.640,5735.577,0.8
3361.615,5715.604,0.8
3360.341,5695.645,0.8
3358.784,5675.706,0.8
3356.907,5655.794,0.8
3354.716,5635.915,0.8
3352.223,5616.071,0.8
3349.395,5596.272,0.8
3346.156,5576.537,0.8
3342.393,5556.896,0.8
3337.890,5537.411,0.8
3332.626,5518.118,0.8
3326.566,5499.061,0.8
3319.848,5480.224,0.8
3312.570,5461.597,0.8
3304.770,5443.181,0.8
3296.559,5424.945,0.8
3287.927,5406.905,0.8
3278.905,5389.056,0.8
3269.517,5371.397,0.8
3259.677,5353.986,0.8
3249.360,5336.854,0.8
3238.584,5320.006,0.8
3227.331,5303.474,0.8
3215.552,5287.311,0.8
3203.336,5271.478,0.8
3190.713,5255.966,0.8
3177.715,5240.767,0.8
3164.370,5225.872,0.8
3150.702,5211.271,0.8
3136.736,5196.955,0.8
3122.492,5182.915,0.8
3107.991,5169.142,0.8
3093.248,5155.627,0.8
3078.278,5142.365,0.8
3063.088,5129.354,0.8
3047.686,5116.597,0.8
3032.073,5104.098,0.8
3016.250,5091.866,0.8
3000.217,5079.912,0.8
2983.970,5068.250,0.8
2967.514,5056.884,0.8
2950.858,5045.814,0.8
2934.013,5035.033,0.8
2916.993,5024.532,0.8
2899.811,5014.296,0.8
2882.482,5004.312,0.8
2865.021,4994.560,0.8
2847.443,4985.022,0.8
2829.762,4975.674,0.8
2811.996,4966.490,0.8
2794.158,4957.445,0.8
2776.256,4948.527,0.8
2758.308,4939.702,0.8
2740.325,4930.949,0.8
2722.317,4922.248,0.8
2704.293,4913.580,0.8
2686.261,4904.929,0.8
2668.221,4896.295,0.8
2650.165,4887.693,0.8
2632.083,4879.147,0.8
2613.964,4870.679,0.8
2595.797,4862.314,0.8
2577.569,4854.085,0.8
2559.269,4846.015,0.8
2540.891,4838.127,0.8
2522.427,4830.440,0.8
2503.882,4822.951,0.8
2485.264,4815.646,0.8
2466.581,4808.509,0.8
2447.842,4801.520,0.8
2429.055,4794.663,0.8
2410.227,4787.917,0.8
2391.366,4781.265,0.8
