X÷·,Y÷·,Z÷·
1208.432,2966.959,15
1227.854,2971.733,15
1247.260,2976.570,15
1266.665,2981.412,15
1286.075,2986.233,15
1305.495,2991.017,15
1324.928,2995.742,15
1344.380,3000.395,15
1363.849,3004.970,15
1383.333,3009.484,15
1402.830,3013.942,15
1422.335,3018.366,15
1441.843,3022.772,15
1461.354,3027.167,15
1480.868,3031.550,15
1500.384,3035.923,15
1519.903,3040.284,15
1539.424,3044.634,15
1558.946,3048.983,15
1578.464,3053.346,15
1597.976,3057.737,15
1617.478,3062.174,15
1636.959,3066.700,15
1656.409,3071.357,15
1675.818,3076.183,15
1695.175,3081.212,15
1714.482,3086.431,15
1733.763,3091.747,15
1753.034,3097.096,15
1772.312,3102.423,15
1791.603,3107.701,15
1810.907,3112.929,15
1830.224,3118.112,15
1849.549,3123.262,15
1868.882,3128.385,15
1888.222,3133.483,15
1907.568,3138.554,15
1926.919,3143.607,15
1946.267,3148.671,15
1965.601,3153.790,15
1984.901,3159.036,15
2004.152,3164.458,15
2023.347,3170.073,15
2042.491,3175.864,15
2061.582,3181.824,15
2080.624,3187.938,15
2099.615,3194.210,15
2118.560,3200.619,15
2137.479,3207.108,15
2156.395,3213.603,15
2175.320,3220.072,15
2194.228,3226.588,15
2213.090,3233.239,15
2231.862,3240.138,15
2250.513,3247.356,15
2269.016,3254.947,15
2287.402,3262.819,15
2305.751,3270.777,15
2324.129,3278.666,15
2342.602,3286.329,15
2361.181,3293.732,15
2379.833,3300.951,15
2398.541,3308.023,15
2417.279,3315.015,15
2436.029,3321.975,15
2454.768,3328.965,15
2473.470,3336.052,15
2492.116,3343.285,15
2510.682,3350.721,15
2529.165,3358.362,15
2547.575,3366.177,15
2565.925,3374.131,15
2584.226,3382.197,15
2602.491,3390.346,15
2620.721,3398.572,15
2638.930,3406.844,15
2657.128,3415.141,15
2675.328,3423.433,15
2693.545,3431.687,15
2711.799,3439.860,15
2730.110,3447.904,15
2748.467,3455.842,15
2766.835,3463.756,15
2785.152,3471.785,15
2803.336,3480.111,15
2821.307,3488.886,15
2839.018,3498.175,15
2856.468,3507.947,15
2873.696,3518.106,15
2890.787,3528.492,15
2907.811,3538.989,15
2924.818,3549.513,15
2941.801,3560.077,15
2958.712,3570.754,15
2975.494,3581.634,15
2992.107,3592.768,15
