X÷·,Y÷·,Z÷·
6983.632,11.554,0.4
6972.833,28.389,0.4
6962.060,45.239,0.4
6951.306,62.101,0.4
6939.449,78.200,0.4
6926.943,93.808,0.4
6914.668,109.597,0.4
6902.624,125.564,0.4
6890.320,141.330,0.4
6877.747,156.884,0.4
6864.981,172.279,0.4
6851.548,187.092,0.4
6837.402,201.230,0.4
6823.099,215.209,0.4
6808.970,229.364,0.4
6794.946,243.624,0.4
6780.722,257.683,0.4
6766.172,271.404,0.4
6751.319,284.796,0.4
6736.195,297.883,0.4
6720.734,310.568,0.4
6704.864,322.738,0.4
6688.585,334.354,0.4
6671.995,345.524,0.4
6655.153,356.308,0.4
6638.051,366.677,0.4
6620.675,376.579,0.4
6603.030,385.993,0.4
6585.104,394.859,0.4
6566.849,403.026,0.4
6548.293,410.486,0.4
6529.562,417.496,0.4
6510.735,424.244,0.4
6491.834,430.780,0.4
6472.793,436.897,0.4
6453.580,442.450,0.4
6434.239,447.541,0.4
6414.842,452.415,0.4
6395.435,457.248,0.4
6376.015,462.032,0.4
6356.472,466.274,0.4
6336.742,469.538,0.4
6316.876,471.831,0.4
6296.927,473.218,0.4
6276.934,473.654,0.4
6256.942,473.136,0.4
6236.993,471.740,0.4
6217.127,469.440,0.4
6197.356,466.428,0.4
6177.613,463.231,0.4
6157.989,459.391,0.4
6138.731,454.015,0.4
6119.867,447.380,0.4
6101.266,440.033,0.4
6082.840,432.257,0.4
6064.573,424.114,0.4
6046.480,415.592,0.4
6028.765,406.318,0.4
6012.095,395.296,0.4
5996.974,382.217,0.4
5982.596,368.315,0.4
5968.278,354.351,0.4
5954.401,339.952,0.4
5941.278,324.862,0.4
5928.882,309.169,0.4
5917.135,292.984,0.4
5905.826,276.489,0.4
5894.888,259.746,0.4
5884.513,242.649,0.4
5874.971,225.074,0.4
5866.254,207.075,0.4
5858.145,188.793,0.4
5850.486,170.319,0.4
5843.449,151.599,0.4
5837.024,132.660,0.4
5830.943,113.607,0.4
5824.962,94.522,0.4
5818.859,75.476,0.4
5812.487,56.518,0.4
5805.920,37.627,0.4
5799.192,18.793,0.4
2018.774,1261.451,0.45
2036.966,1269.762,0.45
2055.004,1278.398,0.45
2072.904,1287.320,0.45
2090.768,1296.312,0.45
2108.721,1305.128,0.45
2126.828,1313.619,0.45
2145.080,1321.795,0.45
2163.443,1329.719,0.45
2181.875,1337.483,0.45
2200.352,1345.137,0.45
2218.866,1352.703,0.45
2237.413,1360.186,0.45
2255.991,1367.592,0.45
2274.602,1374.915,0.45
2293.251,1382.143,0.45
2311.941,1389.260,0.45
2330.679,1396.252,0.45
2349.461,1403.124,0.45
2368.267,1409.932,0.45
2387.070,1416.748,0.45
2405.837,1423.663,0.45
2424.575,1430.652,0.45
2443.341,1437.568,0.45
2462.196,1444.237,0.45
2481.175,1450.545,0.45
2500.273,1456.484,0.45
2519.474,1462.078,0.45
2538.768,1467.345,0.45
2558.135,1472.334,0.45
2577.569,1477.062,0.45
2597.064,1481.526,0.45
2616.610,1485.761,0.45
2636.177,1489.903,0.45
2655.732,1494.094,0.45
2675.257,1498.428,0.45
2694.792,1502.719,0.45
2714.376,1506.773,0.45
2734.030,1510.475,0.45
2753.741,1513.863,0.45
2773.485,1517.051,0.45
2793.249,1520.114,0.45
2813.024,1523.104,0.45
2832.806,1526.052,0.45
2852.597,1528.935,0.45
2872.405,1531.699,0.45
2892.239,1534.271,0.45
2912.105,1536.580,0.45
2932.007,1538.554,0.45
2951.938,1540.212,0.45
2971.888,1541.624,0.45
2991.847,1542.893,0.45
3011.812,1544.085,0.45
3031.783,1545.154,0.45
3051.765,1546.004,0.45
3071.758,1546.508,0.45
3091.757,1546.548,0.45
3111.751,1546.055,0.45
3131.726,1545.065,0.45
3151.684,1543.777,0.45
3171.638,1542.427,0.45
3191.593,1541.088,0.45
3211.549,1539.748,0.45
3231.490,1538.228,0.45
3251.358,1535.946,0.45
3271.148,1533.059,0.45
3290.879,1529.791,0.45
3310.554,1526.203,0.45
