X÷·,Y÷·,Z÷·
-103.401,3971.737,0.5
-84.337,3977.783,0.5
-65.273,3983.830,0.5
-46.209,3989.877,0.5
-27.145,3995.923,0.5
-8.081,4001.970,0.5
10.983,4008.017,0.5
30.047,4014.064,0.5
49.111,4020.110,0.5
68.175,4026.157,0.5
87.239,4032.204,0.5
106.303,4038.250,0.5
125.367,4044.297,0.5
144.431,4050.344,0.5
163.495,4056.391,0.5
182.559,4062.437,0.5
201.623,4068.484,0.5
220.687,4074.531,0.5
239.751,4080.578,0.5
258.809,4086.645,0.5
277.866,4092.712,0.5
296.924,4098.778,0.5
315.982,4104.845,0.5
335.039,4110.912,0.5
354.097,4116.979,0.5
373.155,4123.046,0.5
392.212,4129.112,0.5
411.270,4135.179,0.5
430.328,4141.246,0.5
449.385,4147.313,0.5
468.443,4153.379,0.5
487.501,4159.446,0.5
506.558,4165.513,0.5
525.609,4171.602,0.5
544.657,4177.699,0.5
563.705,4183.796,0.5
582.753,4189.894,0.5
601.800,4195.991,0.5
620.848,4202.088,0.5
639.896,4208.186,0.5
658.944,4214.283,0.5
677.992,4220.381,0.5
697.040,4226.478,0.5
716.083,4232.591,0.5
735.115,4238.739,0.5
754.146,4244.886,0.5
773.178,4251.034,0.5
792.210,4257.181,0.5
811.242,4263.329,0.5
830.273,4269.476,0.5
849.300,4275.639,0.5
868.303,4281.876,0.5
887.305,4288.114,0.5
906.308,4294.351,0.5
925.310,4300.588,0.5
944.275,4306.938,0.5
963.217,4313.357,0.5
982.156,4319.786,0.5
1000.955,4326.611,0.5
1019.541,4333.988,0.5
1037.982,4341.729,0.5
1056.456,4349.393,0.5
1074.924,4357.068,0.5
1093.356,4364.832,0.5
1111.727,4372.736,0.5
1130.021,4380.819,0.5
1148.247,4389.054,0.5
1166.408,4397.431,0.5
1184.518,4405.918,0.5
1202.573,4414.522,0.5
1220.585,4423.215,0.5
1238.542,4432.020,0.5
1256.449,4440.928,0.5
1274.293,4449.960,0.5
1292.075,4459.114,0.5
1309.791,4468.396,0.5
1327.435,4477.812,0.5
1345.019,4487.342,0.5
1362.540,4496.985,0.5
1380.018,4506.708,0.5
1397.460,4516.495,0.5
1414.875,4526.329,0.5
1432.282,4536.178,0.5
1449.693,4546.020,0.5
1467.119,4555.834,0.5
1484.574,4565.598,0.5
1502.072,4575.284,0.5
1519.642,4584.839,0.5
1537.287,4594.253,0.5
1554.989,4603.562,0.5
1572.705,4612.843,0.5
1590.370,4622.221,0.5
1607.903,4631.843,0.5
1625.241,4641.811,0.5
1642.421,4652.051,0.5
1659.489,4662.475,0.5
1676.521,4672.960,0.5
1693.568,4683.419,0.5
1710.670,4693.789,0.5
1727.863,4704.006,0.5
1745.142,4714.076,0.5
1762.520,4723.976,0.5
1780.011,4733.674,0.5
1797.607,4743.181,0.5
1815.309,4752.488,0.5
1833.109,4761.607,0.5
1850.963,4770.622,0.5
1868.844,4779.580,0.5
1886.730,4788.529,0.5
1904.594,4797.524,0.5
1922.413,4806.605,0.5
1940.182,4815.784,0.5
1957.912,4825.038,0.5
1975.618,4834.340,0.5
1993.317,4843.652,0.5
2011.031,4852.939,0.5
2028.786,4862.144,0.5
2046.603,4871.231,0.5
2064.462,4880.233,0.5
2082.320,4889.238,0.5
2100.112,4898.372,0.5
2117.761,4907.780,0.5
2135.293,4917.405,0.5
2152.834,4927.013,0.5
2170.501,4936.387,0.5
2188.347,4945.414,0.5
2206.350,4954.124,0.5
2224.469,4962.592,0.5
2242.640,4970.947,0.5
2260.838,4979.244,0.5
2279.029,4987.557,0.5
2297.180,4995.955,0.5
2315.303,5004.415,0.5
2333.418,5012.891,0.5
2351.559,5021.311,0.5
2369.758,5029.604,0.5
2388.032,5037.733,0.5
2406.378,5045.696,0.5
2424.796,5053.492,0.5
2443.282,5061.125,0.5
2461.828,5068.610,0.5
2480.427,5075.964,0.5
2499.073,5083.197,0.5
2517.754,5090.341,0.5
2536.462,5097.412,0.5
2555.196,5104.414,0.5
2573.954,5111.355,0.5
2592.734,5118.231,0.5
2611.537,5125.046,0.5
2630.359,5131.811,0.5
2649.194,5138.535,0.5
2668.042,5145.226,0.5
2686.898,5151.892,0.5
2705.761,5158.540,0.5
2724.629,5165.172,0.5
2743.502,5171.792,0.5
2762.379,5178.401,0.5
2781.258,5185.001,0.5
2800.138,5191.599,0.5
2819.016,5198.205,0.5
2837.886,5204.832,0.5
2856.744,5211.493,0.5
2875.587,5218.196,0.5
2894.411,5224.953,0.5
2913.214,5231.770,0.5
2931.998,5238.637,0.5
2950.769,5245.541,0.5
2969.534,5252.460,0.5
2988.299,5259.379,0.5
3007.069,5266.283,0.5
3025.851,5273.156,0.5
3044.651,5279.980,0.5
3063.469,5286.754,0.5
3082.298,5293.498,0.5
3101.131,5300.228,0.5
3119.963,5306.962,0.5
3138.785,5313.727,0.5
3157.588,5320.541,0.5
3176.367,5327.422,0.5
3195.129,5334.349,0.5
3213.877,5341.313,0.5
3232.620,5348.294,0.5
3251.363,5355.272,0.5
3270.115,5362.226,0.5
3288.883,5369.138,0.5
3307.677,5375.977,0.5
3326.507,5382.718,0.5
3345.387,5389.317,0.5
3364.334,5395.720,0.5
3383.358,5401.891,0.5
3402.456,5407.827,0.5
3421.617,5413.560,0.5
3440.818,5419.156,0.5
3460.049,5424.650,0.5
3479.294,5430.091,0.5
3498.551,5435.495,0.5
3517.809,5440.889,0.5
3537.064,5446.297,0.5
3556.307,5451.747,0.5
3575.528,5457.276,0.5
3594.718,5462.911,0.5
3613.866,5468.685,0.5
3632.968,5474.609,0.5
3652.034,5480.652,0.5
3671.078,5486.761,0.5
3690.121,5492.872,0.5
3709.185,5498.919,0.5
3728.288,5504.842,0.5
3747.462,5510.530,0.5
3766.711,5515.956,0.5
3786.044,5521.077,0.5
3805.466,5525.853,0.5
3824.967,5530.290,0.5
3844.518,5534.503,0.5
3864.063,5538.744,0.5
3883.552,5543.235,0.5
3902.954,5548.086,0.5
3922.266,5553.286,0.5
3941.512,5558.727,0.5
3960.716,5564.311,0.5
3979.897,5569.978,0.5
3999.067,5575.677,0.5
4018.243,5581.360,0.5
4037.428,5587.012,0.5
4056.616,5592.653,0.5
4075.802,5598.299,0.5
4094.981,5603.972,0.5
4114.148,5609.683,0.5
4133.305,5615.431,0.5
4152.454,5621.201,0.5
4171.600,5626.982,0.5
4190.747,5632.762,0.5
4209.897,5638.531,0.5
4229.049,5644.293,0.5
4248.188,5650.096,0.5
4267.295,5656.005,0.5
4286.338,5662.120,0.5
4305.299,5668.479,0.5
4324.131,5675.214,0.5
4342.817,5682.341,0.5
4361.348,5689.864,0.5
4379.737,5697.726,0.5
4398.021,5705.831,0.5
4416.218,5714.129,0.5
4434.355,5722.559,0.5
4452.453,5731.071,0.5
4470.519,5739.652,0.5
4488.555,5748.294,0.5
4506.563,5756.996,0.5
4524.540,5765.760,0.5
4542.485,5774.592,0.5
4560.389,5783.504,0.5
4578.242,5792.519,0.5
4596.029,5801.663,0.5
4613.724,5810.984,0.5
4631.316,5820.499,0.5
4648.792,5830.223,0.5
4666.169,5840.124,0.5
4683.460,5850.175,0.5
4700.693,5860.325,0.5
4717.868,5870.574,0.5
