X÷·,Y÷·,Z÷·
205.522,4285.606,0.55
225.309,4288.514,0.55
245.051,4291.715,0.55
264.721,4295.330,0.55
284.291,4299.450,0.55
303.730,4304.150,0.55
323.042,4309.348,0.55
342.232,4314.982,0.55
361.364,4320.810,0.55
380.483,4326.680,0.55
399.539,4332.752,0.55
418.449,4339.261,0.55
437.121,4346.422,0.55
455.465,4354.386,0.55
473.371,4363.288,0.55
490.809,4373.078,0.55
507.909,4383.449,0.55
524.822,4394.124,0.55
541.487,4405.181,0.55
557.782,4416.775,0.55
573.743,4428.826,0.55
589.450,4441.206,0.55
604.781,4454.048,0.55
619.409,4467.682,0.55
633.287,4482.080,0.55
646.495,4497.097,0.55
659.059,4512.655,0.55
670.870,4528.792,0.55
681.793,4545.542,0.55
691.834,4562.837,0.55
701.212,4580.501,0.55
710.118,4598.408,0.55
718.588,4616.525,0.55
726.488,4634.897,0.55
733.585,4653.594,0.55
739.612,4672.661,0.55
744.535,4692.042,0.55
748.456,4711.652,0.55
751.523,4731.414,0.55
753.783,4751.284,0.55
755.223,4771.231,0.55
755.894,4791.219,0.55
755.854,4811.217,0.55
754.825,4831.187,0.55
752.128,4850.995,0.55
747.373,4870.413,0.55
741.047,4889.381,0.55
733.180,4907.761,0.55
723.700,4925.364,0.55
712.807,4942.131,0.55
700.712,4958.054,0.55
687.491,4973.054,0.55
673.226,4987.067,0.55
658.004,5000.032,0.55
641.937,5011.936,0.55
625.191,5022.864,0.55
607.897,5032.907,0.55
590.168,5042.160,0.55
572.103,5050.741,0.55
553.746,5058.675,0.55
534.998,5065.630,0.55
515.869,5071.457,0.55
496.503,5076.449,0.55
476.974,5080.758,0.55
457.309,5084.394,0.55
437.503,5087.158,0.55
417.596,5089.069,0.55
397.630,5090.207,0.55
377.637,5090.704,0.55
357.638,5090.613,0.55
337.647,5090.027,0.55
317.680,5088.890,0.55
297.777,5086.953,0.55
278.070,5083.569,0.55
258.543,5079.254,0.55
239.109,5074.529,0.55
219.721,5069.618,0.55
2631.967,5162.534,0.6
2650.739,5169.430,0.6
2669.239,5177.025,0.6
2687.503,5185.174,0.6
2705.587,5193.716,0.6
2723.516,5202.579,0.6
2741.304,5211.720,0.6
2758.940,5221.153,0.6
2776.385,5230.932,0.6
2793.654,5241.020,0.6
2810.756,5251.390,0.6
2827.707,5262.003,0.6
2844.534,5272.813,0.6
2861.240,5283.808,0.6
2877.796,5295.028,0.6
