X÷·,Y÷·,Z÷·
1043.577,3126.841,55
1061.648,3135.412,55
1079.692,3144.038,55
1097.716,3152.705,55
1115.731,3161.393,55
1133.745,3170.081,55
1151.771,3178.744,55
1169.825,3187.351,55
1187.920,3195.869,55
1206.064,3204.283,55
1224.253,3212.599,55
1242.480,3220.831,55
1260.730,3229.013,55
1278.990,3237.172,55
1297.252,3245.328,55
1315.507,3253.497,55
1333.758,3261.676,55
1352.009,3269.856,55
1370.263,3278.029,55
1388.524,3286.185,55
1406.796,3294.318,55
1425.082,3302.419,55
1443.386,3310.478,55
1461.713,3318.485,55
1480.064,3326.438,55
1498.436,3334.341,55
1516.826,3342.204,55
1535.228,3350.037,55
1553.638,3357.852,55
1572.051,3365.661,55
1590.462,3373.473,55
1608.868,3381.298,55
1627.267,3389.138,55
1645.659,3396.995,55
1664.043,3404.870,55
1682.420,3412.762,55
1700.790,3420.672,55
1719.152,3428.599,55
1737.503,3436.551,55
1755.847,3444.519,55
1774.184,3452.504,55
1792.514,3460.505,55
1810.835,3468.525,55
1829.153,3476.554,55
1847.466,3484.594,55
1865.774,3492.645,55
1884.080,3500.700,55
1902.382,3508.764,55
1920.683,3516.831,55
1938.982,3524.902,55
1957.280,3532.976,55
1975.577,3541.052,55
1993.873,3549.129,55
2012.170,3557.206,55
2030.466,3565.283,55
2048.764,3573.358,55
2067.061,3581.433,55
2085.361,3589.503,55
2103.661,3597.571,55
2121.965,3605.632,55
2140.270,3613.690,55
2158.578,3621.740,55
2176.891,3629.779,55
2195.207,3637.812,55
2213.531,3645.826,55
2231.863,3653.822,55
2250.205,3661.796,55
2268.561,3669.738,55
2286.937,3677.632,55
2305.340,3685.463,55
2323.776,3693.216,55
2342.251,3700.876,55
2360.764,3708.443,55
2379.314,3715.920,55
2397.888,3723.335,55
2416.481,3730.706,55
2435.089,3738.035,55
2453.712,3745.329,55
2472.346,3752.595,55
2490.991,3759.831,55
2509.648,3767.035,55
2528.327,3774.184,55
2547.038,3781.246,55
2565.808,3788.153,55
2584.668,3794.808,55
2603.655,3801.091,55
2622.739,3807.073,55
2641.848,3812.976,55
2660.935,3818.949,55
2680.021,3824.927,55
2699.129,3830.833,55
2718.269,3836.635,55
2737.381,3842.529,55
2756.361,3848.829,55
2775.141,3855.706,55
2793.810,3862.881,55
2812.485,3870.040,55
2831.182,3877.139,55
2849.834,3884.359,55
2868.391,3891.817,55
2886.826,3899.571,55
2905.138,3907.612,55
2923.323,3915.937,55
2941.367,3924.562,55
2959.245,3933.526,55
2976.928,3942.870,55
2994.433,3952.541,55
3011.817,3962.431,55
3029.163,3972.386,55
3046.485,3982.385,55
3063.694,3992.574,55
3080.704,4003.093,55
3097.495,4013.958,55
3114.098,4025.109,55
3130.536,4036.501,55
3146.812,4048.123,55
3162.899,4060.006,55
3178.734,4072.222,55
3194.259,4084.829,55
3209.428,4097.863,55
3224.187,4111.359,55
3238.475,4125.351,55
3252.165,4139.928,55
3265.122,4155.160,55
3277.364,4170.974,55
3288.927,4187.290,55
3299.479,4204.273,55
3308.601,4222.066,55
3316.825,4240.296,55
3324.567,4258.736,55
3331.943,4277.326,55
3338.882,4296.083,55
3345.184,4315.063,55
3350.592,4334.315,55
3354.947,4353.833,55
3358.369,4373.536,55
3360.798,4393.385,55
3362.199,4413.334,55
3362.756,4433.325,55
3362.690,4453.324,55
3362.136,4473.316,55
3361.186,4493.293,55
3359.860,4513.248,55
3357.247,4533.067,55
3352.287,4552.430,55
3345.639,4571.289,55
3338.124,4589.822,55
3330.057,4608.122,55
