X÷·,Y÷·,Z÷·
1037.281,4250.398,70
1057.271,4249.774,70
1077.261,4249.143,70
1097.248,4248.416,70
1117.218,4247.328,70
1137.118,4245.357,70
1156.887,4242.341,70
1176.488,4238.378,70
1195.798,4233.196,70
1214.116,4225.268,70
1230.174,4213.414,70
1244.078,4199.061,70
1255.100,4182.434,70
1261.618,4163.576,70
1264.809,4143.846,70
1265.678,4123.878,70
1263.168,4104.079,70
1256.278,4085.342,70
1246.738,4067.778,70
1235.139,4051.503,70
1221.298,4037.093,70
1205.872,4024.375,70
1189.700,4012.610,70
1173.235,4001.257,70
1156.651,3990.078,70
1140.016,3978.975,70
1123.376,3967.879,70
1106.762,3956.745,70
1090.191,3945.547,70
1073.683,3934.255,70
1057.225,3922.892,70
1040.814,3911.460,70
1024.446,3899.968,70
1008.109,3888.431,70
991.811,3876.839,70
975.627,3865.088,70
959.618,3853.101,70
943.828,3840.827,70
928.282,3828.246,70
912.988,3815.360,70
897.939,3802.188,70
1197.179,3040.614,65
1215.416,3048.822,65
1233.581,3057.191,65
1251.656,3065.753,65
1269.622,3074.540,65
1287.458,3083.588,65
1305.145,3092.924,65
1322.663,3102.573,65
1339.999,3112.545,65
1357.107,3122.903,65
1373.906,3133.754,65
1390.296,3145.212,65
1406.217,3157.315,65
1421.648,3170.036,65
1436.513,3183.414,65
1450.758,3197.448,65
1464.325,3212.140,65
1477.176,3227.463,65
1489.440,3243.261,65
1501.166,3259.461,65
1512.325,3276.057,65
1522.487,3293.276,65
1530.946,3311.385,65
1536.937,3330.448,65
1540.292,3350.150,65
1541.538,3370.106,65
1541.147,3390.097,65
1538.989,3409.971,65
1534.565,3429.459,65
1527.328,3448.079,65
1516.971,3465.154,65
1503.970,3480.329,65
1489.329,3493.943,65
1473.669,3506.377,65
1457.024,3517.448,65
1439.196,3526.474,65
1420.221,3532.743,65
1400.654,3536.843,65
1380.855,3539.653,65
1360.946,3541.541,65
1340.968,3542.409,65
1320.973,3542.157,65
1301.017,3540.860,65
1281.118,3538.862,65
1261.259,3536.498,65
1241.409,3534.048,65
1221.562,3531.583,65
1201.734,3528.966,65
1181.942,3526.091,65
1162.196,3522.916,65
1142.497,3519.460,65
1122.813,3515.916,65
1103.123,3512.411,65
1083.415,3509.006,65
1063.686,3505.724,65
1043.937,3502.569,65
1822.578,5138.503,70
1810.899,5122.268,70
1799.484,5105.846,70
1788.682,5089.018,70
1779.232,5071.399,70
1772.065,5052.751,70
1769.466,5033.032,70
1774.953,5013.923,70
1785.084,4996.734,70
1798.996,4982.429,70
1815.540,4971.241,70
1833.577,4962.634,70
1852.456,4956.051,70
1871.728,4950.715,70
1891.213,4946.216,70
1910.824,4942.293,70
1930.515,4938.789,70
1950.270,4935.673,70
1970.072,4932.868,70
1989.916,4930.379,70
2009.799,4928.220,70
2029.712,4926.357,70
2049.648,4924.766,70
2069.597,4923.341,70
2089.553,4922.012,70
2109.510,4920.700,70
2129.465,4919.364,70
2149.419,4918.006,70
2169.372,4916.638,70
2189.325,4915.269,70
2209.279,4913.909,70
2229.232,4912.543,70
2249.178,4911.067,70
2269.105,4909.367,70
2288.998,4907.304,70
2308.840,4904.803,70
2328.625,4901.881,70
2348.344,4898.541,70
2368.008,4894.889,70
2387.604,4890.894,70
2407.131,4886.571,70
2426.563,4881.841,70
2445.839,4876.516,70
2464.878,4870.395,70
2483.589,4863.338,70
2501.915,4855.335,70
2519.854,4846.496,70
2537.418,4836.932,70
2554.619,4826.730,70
2571.468,4815.956,70
2587.940,4804.616,70
2603.985,4792.678,70
2619.530,4780.099,70
2634.494,4766.833,70
2648.863,4752.924,70
2662.705,4738.491,70
2676.128,4723.665,70
2689.240,4708.563,70
2702.045,4693.201,70
