X÷·,Y÷·,Z÷·
6161.801,6485.036,0.55
6158.272,6465.352,0.55
6153.878,6445.842,0.55
6148.963,6426.455,0.55
6143.707,6407.159,0.55
6138.136,6387.950,0.55
6132.261,6368.833,0.55
6126.025,6349.831,0.55
6119.363,6330.974,0.55
6112.301,6312.262,0.55
6104.919,6293.675,0.55
6097.313,6275.178,0.55
6089.528,6256.755,0.55
6081.546,6238.417,0.55
6073.308,6220.193,0.55
6064.769,6202.108,0.55
6055.827,6184.219,0.55
6046.436,6166.562,0.55
6036.521,6149.194,0.55
6026.166,6132.084,0.55
6015.412,6115.222,0.55
6004.362,6098.552,0.55
5993.086,6082.034,0.55
5981.657,6065.621,0.55
5970.071,6049.319,0.55
5958.363,6033.104,0.55
5946.547,6016.968,0.55
5934.632,6000.905,0.55
7691.543,8687.578,0.55
7684.202,8668.973,0.55
7676.862,8650.369,0.55
7669.521,8631.765,0.55
7662.181,8613.161,0.55
7654.840,8594.556,0.55
7647.500,8575.952,0.55
7640.159,8557.348,0.55
7632.819,8538.744,0.55
7625.478,8520.139,0.55
7618.138,8501.535,0.55
7610.797,8482.931,0.55
7603.457,8464.327,0.55
7596.116,8445.723,0.55
7588.776,8427.118,0.55
7581.435,8408.514,0.55
7574.095,8389.910,0.55
7566.754,8371.306,0.55
7559.414,8352.701,0.55
7552.074,8334.097,0.55
7544.733,8315.493,0.55
7537.393,8296.889,0.55
7530.052,8278.285,0.55
7522.712,8259.680,0.55
7515.371,8241.076,0.55
7508.031,8222.472,0.55
7500.690,8203.868,0.55
7493.350,8185.263,0.55
7486.009,8166.659,0.55
7478.669,8148.055,0.55
7471.328,8129.451,0.55
7463.988,8110.847,0.55
7456.647,8092.242,0.55
7449.304,8073.639,0.55
7441.960,8055.036,0.55
7434.616,8036.433,0.55
7427.273,8017.830,0.55
7419.929,7999.227,0.55
7412.585,7980.625,0.55
7405.241,7962.022,0.55
7397.897,7943.419,0.55
7390.554,7924.816,0.55
7383.210,7906.213,0.55
7375.866,7887.610,0.55
7368.522,7869.007,0.55
7361.178,7850.404,0.55
7353.835,7831.801,0.55
7346.491,7813.198,0.55
7339.147,7794.595,0.55
7331.803,7775.992,0.55
7324.459,7757.389,0.55
7317.116,7738.787,0.55
7309.772,7720.184,0.55
7302.428,7701.581,0.55
7295.084,7682.978,0.55
7287.741,7664.375,0.55
7280.397,7645.772,0.55
7273.053,7627.169,0.55
7265.705,7608.568,0.55
7258.355,7589.967,0.55
7251.005,7571.367,0.55
7243.656,7552.766,0.55
7236.306,7534.165,0.55
7228.956,7515.565,0.55
7221.606,7496.964,0.55
7214.257,7478.364,0.55
7206.907,7459.763,0.55
7199.557,7441.163,0.55
7192.208,7422.562,0.55
7184.858,7403.961,0.55
7177.508,7385.361,0.55
7170.159,7366.760,0.55
7162.809,7348.160,0.55
7155.459,7329.559,0.55
7148.109,7310.958,0.55
7140.760,7292.358,0.55
7133.402,7273.760,0.55
7126.041,7255.164,0.55
7118.680,7236.568,0.55
7111.319,7217.972,0.55
7103.958,7199.376,0.55
7096.597,7180.780,0.55
7089.236,7162.184,0.55
7081.875,7143.587,0.55
7074.514,7124.991,0.55
7067.153,7106.395,0.55
7059.792,7087.799,0.55
7052.431,7069.203,0.55
7045.061,7050.611,0.55
7037.676,7032.024,0.55
7030.292,7013.437,0.55
7022.907,6994.850,0.55
7015.522,6976.264,0.55
7008.137,6957.677,0.55
7000.753,6939.090,0.55
6993.368,6920.504,0.55
6985.940,6901.934,0.55
6978.498,6883.370,0.55
6971.055,6864.807,0.55
6963.613,6846.243,0.55
6956.073,6827.719,0.55
6948.460,6809.225,0.55
6940.491,6790.883,0.55
6932.019,6772.766,0.55
6923.440,6754.699,0.55
6914.775,6736.674,0.55
6906.044,6718.680,0.55
6897.232,6700.726,0.55
6888.339,6682.812,0.55
6879.321,6664.961,0.55
6870.159,6647.183,0.55
6860.799,6629.508,0.55
6851.259,6611.931,0.55
6841.530,6594.457,0.55
6831.662,6577.061,0.55
6821.664,6559.739,0.55
6811.585,6542.465,0.55
6801.441,6525.228,0.55
6791.247,6508.021,0.55
6781.016,6490.836,0.55
6770.754,6473.669,0.55
6760.454,6456.526,0.55
6750.106,6439.410,0.55
6739.704,6422.328,0.55
6729.242,6405.283,0.55
6718.715,6388.278,0.55
6708.119,6371.316,0.55
6697.443,6354.403,0.55
6686.695,6337.536,0.55
6675.886,6320.709,0.55
6665.023,6303.916,0.55
6654.113,6287.154,0.55
6643.161,6270.419,0.55
6632.168,6253.711,0.55
6621.136,6237.029,0.55
6610.071,6220.369,0.55
6598.975,6203.729,0.55
6587.842,6187.114,0.55
6576.634,6170.550,0.55
6565.290,6154.078,0.55
6553.758,6137.738,0.55
6542.009,6121.553,0.55
6530.054,6105.519,0.55
6517.915,6089.625,0.55
6505.632,6073.841,0.55
6493.245,6058.139,0.55
6480.782,6042.497,0.55
6468.222,6026.933,0.55
6455.610,6011.411,0.55
6442.957,5995.922,0.55
6430.234,5980.491,0.55
6417.493,5965.074,0.55
6404.683,5949.715,0.55
6391.856,5934.370,0.55
6378.974,5919.071,0.55
6366.068,5903.793,0.55
6353.114,5888.555,0.55
6340.130,5873.343,0.55
6327.102,5858.168,0.55
6314.038,5843.025,0.55
6300.934,5827.915,0.55
6287.794,5812.838,0.55
6274.624,5797.786,0.55
6261.420,5782.764,0.55
6248.197,5767.759,0.55
6234.944,5752.780,0.55
6221.682,5737.810,0.55
6208.396,5722.861,0.55
6195.107,5707.914,0.55
6181.805,5692.979,0.55
6168.503,5678.044,0.55
6155.202,5663.108,0.55
6141.906,5648.167,0.55
6128.621,5633.217,0.55
6115.349,5618.255,0.55
6102.090,5603.282,0.55
6088.848,5588.293,0.55
6075.614,5573.299,0.55
6062.394,5558.290,0.55
6049.178,5543.279,0.55
6035.971,5528.261,0.55
6022.764,5513.241,0.55
6009.560,5498.219,0.55
5996.353,5483.200,0.55
5983.145,5468.182,0.55
5969.925,5453.174,0.55
5956.700,5438.171,0.55
5943.460,5423.181,0.55
5930.204,5408.205,0.55
5916.937,5393.239,0.55
5903.638,5378.301,0.55
5890.324,5363.377,0.55
5876.983,5348.476,0.55
5863.606,5333.608,0.55
5850.205,5318.762,0.55
5836.762,5303.954,0.55
5823.268,5289.192,0.55
5809.733,5274.468,0.55
5796.145,5259.792,0.55
5782.467,5245.201,0.55
5768.712,5230.682,0.55
5754.871,5216.245,0.55
5740.938,5201.898,0.55
5726.908,5187.644,0.55
5712.784,5173.484,0.55
5698.568,5159.416,0.55
5684.274,5145.428,0.55
5669.917,5131.503,0.55
5655.520,5117.622,0.55
5641.087,5103.776,0.55
5626.609,5089.978,0.55
5612.086,5076.227,0.55
5597.514,5062.528,0.55
5582.885,5048.891,0.55
5568.208,5035.304,0.55
5553.478,5021.776,0.55
5538.682,5008.319,0.55
5523.808,4994.949,0.55
5508.849,4981.674,0.55
5493.798,4968.503,0.55
5478.652,4955.441,0.55
5463.411,4942.491,0.55
5448.077,4929.651,0.55
5432.661,4916.911,0.55
5417.171,4904.260,0.55
5401.615,4891.689,0.55
5385.998,4879.195,0.55
5370.324,4866.772,0.55
5354.585,4854.431,0.55
5338.791,4842.161,0.55
5322.945,4829.960,0.55
5307.044,4817.828,0.55
5291.089,4805.769,0.55
5275.079,4793.782,0.55
5259.018,4781.864,0.55
5242.901,4770.021,0.55
5226.743,4758.235,0.55
5210.551,4746.495,0.55
5194.332,4734.793,0.55
5178.092,4723.120,0.55
5161.826,4711.483,0.55
5145.550,4699.860,0.55
5129.265,4688.250,0.55
5112.962,4676.665,0.55
5096.650,4665.093,0.55
5080.326,4653.537,0.55
5063.984,4642.008,0.55
5047.634,4630.489,0.55
5031.260,4619.004,0.55
5014.873,4607.538,0.55
4998.468,4596.098,0.55
4982.036,4584.698,0.55
4965.588,4573.319,0.55
4949.102,4561.997,0.55
4932.585,4550.718,0.55
4916.041,4539.481,0.55
4899.445,4528.320,0.55
4882.812,4517.214,0.55
4866.143,4506.161,0.55
4849.436,4495.166,0.55
4832.683,4484.243,0.55
4815.893,4473.376,0.55
4799.072,4462.557,0.55
4782.223,4451.781,0.55
4765.351,4441.042,0.55
4748.461,4430.330,0.55
4731.556,4419.643,0.55
4714.637,4408.978,0.55
4697.709,4398.327,0.55
4680.774,4387.687,0.55
4663.835,4377.053,0.55
4646.895,4366.422,0.55
4629.956,4355.789,0.55
4613.020,4345.150,0.55
4596.091,4334.501,0.55
4579.166,4323.845,0.55
4562.246,4313.181,0.55
4545.329,4302.513,0.55
